CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;LATITUD;LONGITUD;NOMBRE;;;;;;;;;;;;;;;;;;;
020090AS;9;MONCLOA-ARAVACA     ;CALLE;ISLA DE OZA;82;;438877.50;4479466.67;21/03/2018;40.4636248;-3.7209545;CALLE ISLA DE OZA,82;;;;;;;;;;;;;;;;;;;
020080AS;9;MONCLOA-ARAVACA     ;PASEO;MORET;1;;438939.41;4476279.57;26/04/2018;40.4349187;-3.7199179;PASEO MORET,1;;;;;;;;;;;;;;;;;;;
020040AS;9;MONCLOA-ARAVACA     ;GLORIETA;SAN VICENTE;1;;438852.69;4474708.40;26/04/2018;40.4207586;-3.7207892;GLORIETA  SAN VICENTE, 1;;;;;;;;;;;;;;;;;;;
020076AS;10;LATINA;CALLE;VILLAMANIN;31;;436162.29;4473246.79;24/05/2021;40.4073897;-3.7523537;CALLE VILLAMANIN, 31;;;;;;;;;;;;;;;;;;;
020073AS;10;LATINA;CALLE;HIGUERAS;49;;436749.22;4472941.24;06/11/2017;40.4046821;-3.7454067;CALLE HIGUERAS,49;;;;;;;;;;;;;;;;;;;
020063AS;10;LATINA;CALLE;CUART DE POBLET;1;;436787.48;4472322.43;14/12/2017;40.3991105;-3.7448944;CALLE CUART DE POBLET,1;;;;;;;;;;;;;;;;;;;
020053AS;10;LATINA;PASEO;ERMITA DEL SANTO;2;"CERCANO A QUIOSCO ""SEGOVIA""";438566.64;4473912.97;13/02/2018;40.4135719;-3.724084;PASEO ERMITA DEL SANTO,2;;;;;;;;;;;;;;;;;;;
020067AS;10;LATINA;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;174;;435900.62;4472493.61;15/02/2018;40.4005847;-3.7553615;CALLE CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN,174;;;;;;;;;;;;;;;;;;;
020074AS;10;LATINA;CALLE;BLAS CABRERA;141;;435027.81;4470006.75;21/02/2018;40.3781145;-3.7653924;CALLE BLAS CABRERA,141;;;;;;;;;;;;;;;;;;;
020071AS;10;LATINA;AVENIDA;LAS AGUILAS;76;;433768.95;4470382.23;17/04/2018;40.3813979;-3.7802599;AVENIDA LAS AGUILAS,76;;;;;;;;;;;;;;;;;;;
020045AS;10;LATINA;CALLE;VALMOJADO;99;;435645.41;4471765.80;18/02/2019;40.3940087;-3.7582951;CALLE VALMOJADO,99;;;;;;;;;;;;;;;;;;;
020070AS;10;LATINA;CALLE;OCAÑA;2;;435466.64;4470867.15;28/02/2019;40.3858994;-3.7603104;CALLE OCAÑA,2;;;;;;;;;;;;;;;;;;;
020014AS;11;CARABANCHEL;AVENIDA;PESETA;47;;435668.15;4468308.67;06/11/2017;40.3628671;-3.7576782;AVENIDA PESETA,47;;;;;;;;;;;;;;;;;;;
020013AS;11;CARABANCHEL;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""MONTSERRAT""";439501.25;4472131.10;06/11/2017;40.3975885;-3.7128996;PARQUE MADRID RIO,;;;;;;;;;;;;;;;;;;;
020109AS;11;CARABANCHEL;AVENIDA;EURO;2;;437284.97;4469471.47;13/11/2017;40.3734654;-3.7387518;AVENIDA EURO,2;;;;;;;;;;;;;;;;;;;
020102AS;11;CARABANCHEL;AVENIDA;OPORTO;4;;438977.90;4470734.77;20/12/2017;40.3849715;-3.7189324;AVENIDA OPORTO,4;;;;;;;;;;;;;;;;;;;
020010AS;11;CARABANCHEL;AVENIDA;MANZANARES;108;JUNTO A PASEO DE SAN ILLAN;438990.03;4472335.49;25/01/2018;40.3993924;-3.7189428;AVENIDA MANZANARES,108;;;;;;;;;;;;;;;;;;;
020023AS;11;CARABANCHEL;CALLE;CARLOS DABAN;30;;437945.09;4472123.57;20/04/2018;40.3974061;-3.7312348;CALLE CARLOS DABAN,30;;;;;;;;;;;;;;;;;;;
020016AS;11;CARABANCHEL;GLORIETA;MARQUES DE VADILLO;2;;439280.27;4472104.45;23/04/2018;40.3973323;-3.7155009;GLORIETA MARQUES DE VADILLO,2;;;;;;;;;;;;;;;;;;;
020005AS;11;CARABANCHEL;TRAVESIA;IVAN DE VARGAS;1;;438616.43;4472728.79;24/04/2018;40.402908;-3.7233829;TRAVESIA IVAN DE VARGAS,1;;;;;;;;;;;;;;;;;;;
020114ASW;12;USERA;AVENIDA;RAFAELA YBARRA;S/N;PARQUE DE PRADOLONGO;439562.58;4469943.71;19/01/2017;40.3778878;-3.7119695;AVENIDA RAFAELA YBARRA,S/N;;;;;;;;;;;;;;;;;;;
020017ASW;12;USERA;CALLE;CAMINO DE PERALES;48;PARQUE LINEAL DEL MANZANARES;441396.22;4470022.98;05/06/2017;40.3787329;-3.6903775;CALLE CAMINO DE PERALES,48;;;;;;;;;;;;;;;;;;;
020021AS;12;USERA;CALLE;TOMELLOSO;63;;440567.40;4470110.53;20/11/2017;40.3794629;-3.7001488;CALLE TOMELLOSO,63;;;;;;;;;;;;;;;;;;;
020125AS;12;USERA;AVENIDA;MANZANARES;218;"CERCANO A QUIOSCO ""PRINCESA""";440650.72;4471234.37;19/03/2018;40.389593;-3.699272;AVENIDA MANZANARES,218;;;;;;;;;;;;;;;;;;;
